[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
422773,Beneficios procedentes de instrum de patrim  partes relac,,Revenue,,,No,,422,,,,,,,,,,
422775,Beneficios por operaciones con obligaciones propias,,Revenue,,,No,,422,,,,,,,,,,
422790,Reverso del deterioro del activo intangible,,Revenue,,,No,,422,,,,,,,,,,
422791,Reverso del deterioro de las propiedades  planta y equipos,,Revenue,,,No,,422,,,,,,,,,,
422792,Reverso del deterioro de las propiedades de inversion,,Revenue,,,No,,422,,,,,,,,,,
422793,Reverso del deterioro de los inventarios,,Revenue,,,No,,422,,,,,,,,,,
422794,Reverso de deterioro de los creditos comerciales,,Revenue,,,No,,422,,,,,,,,,,
422795,Exceso de provisiones y estimaciones,,Revenue,,,No,,422,,,,,,,,,,
422797,Reverso de deterioro de instrumentos de deuda,,Revenue,,,No,,422,,,,,,,,,,
422798,Reverso de deterioro de instrumentos de patrimonio,,Revenue,,,No,,422,,,,,,,,,,
423,Ingresos Financieros,,Revenue,,,Yes,,42,,,,,,,,,,
423760,Dividendos instrumentos de patrimonio,,Revenue,,,No,,423,,,,,,,,,,
423761,Intereses instrumentos de deuda,,Revenue,,,No,,423,,,,,,,,,,
423762,Intereses prestamos,Bank interest revenue,Revenue,,Yes,No,B_INTERESTREV_ACCT,423,,,,,,,,,,
423763,Beneficio por cambios en el valor razonable,,Revenue,,,No,,423,,,,,,,,,,
423764,Beneficio en cambio por liquidacion bancaria,Difference between payment and bank account currency,Revenue,,Yes,No,B_SETTLEMENTGAIN_ACCT,423,,,,,,,,,,
423765,Beneficio en cambio no realizado,Difference between foreign currency receivables/payables and current rate,Revenue,,Yes,No,UNREALIZEDGAIN_ACCT,423,,,,,,,,,,
423766,Beneficio en cambio realizado,Difference between invoice and payment currency,Revenue,,Yes,No,REALIZEDGAIN_ACCT,423,,,,,,,,,,
423768,Beneficio en cambio bancario,Foreign currency bank account gain,Revenue,,Yes,No,B_REVALUATIONGAIN_ACCT,423,,,,,,,,,,
5,GASTOS,,Expense,,,Yes,,,,,,,,,,,,
51,OPERACIONALES,,Expense,,,Yes,,5,,,,,,,,,,
511,Costo de Produccion y Venta,,Expense,,,Yes,,51,,,,,,,,,,
511600,Compras de mercancias,Cost of Goods Sold,Expense,,Yes,No,P_COGS_ACCT,511,,,,,,,,,,
511601,Compra de materia prima,Cost Of Production Account,Expense,,,No,P_COSTOFPRODUCTION_ACCT,511,,,,,,,,,,
511602,Compras de suministros y materiales,Default Service costs (I.e. not on inventory),Expense,,Yes,No,P_EXPENSE_ACCT,511,,,,,,,,,,
511606,Descuentos por pronto pago,Granted early payment discount from vendors,Expense,,Yes,No,PAYDISCOUNT_REV_ACCT,511,,,,,,,,,,
511607,Trabajos realizados por otras empresas,Outside Processing Account,Expense,,Yes,No,P_OUTSIDEPROCESSING_ACCT,511,,,,,,,,,,
511608,Rebajas y devoluciones,,Expense,,,No,,511,,,,,,,,,,
511609,Descuentos sobre compras,Received Trade Discounts (corrects Product expense),Expense,,Yes,No,P_TRADEDISCOUNTREC_ACCT,511,,,,,,,,,,
512,Gastos Generales,,Expense,,,Yes,,51,,,,,,,,,,
512621,Arrendamientos y canones,,Expense,,,No,,512,,,,,,,,,,
512622,Reparaciones y mantenimientos,,Expense,,,No,,512,,,,,,,,,,
512623,Honorarios profesionales,,Expense,,,No,,512,,,,,,,,,,
512625,Seguros,,Expense,,,No,,512,,,,,,,,,,
512626,Servicios bancarios y similares,Bank expenses,Expense,,Yes,No,B_EXPENSE_ACCT,512,,,,,,,,,,
512629,Otros servicios,Default Account (if no other account is defined) V1.1,Expense,,Yes,No,DEFAULT_ACCT,512,,,,,,,,,,
513,Gastos de Distribucion y Ventas,,Expense,,,Yes,,51,,,,,,,,,,
513620,Gastos de investigacion y desarrollo,,Expense,,,No,,513,,,,,,,,,,
513624,Transportes y traslados,,Expense,,,No,,513,,,,,,,,,,
513625,Gastos efectuados por Trabajadores,Default employee expenses,Expense,,Yes,No,E_EXPENSE_ACCT,513,,,,,,,,,,
513627,Publicidad propagandas y relaciones publicas,,Expense,,,No,,513,,,,,,,,,,
513628,Suministros,,Expense,,,No,,513,,,,,,,,,,
514,Provisiones,,Expense,,,Yes,,51,,,,,,,,,,
514695,Provision operaciones comerciales,,Expense,,,No,,514,,,,,,,,,,
515,Variacion Inventarios de productos terminados y en proceso,,Expense,,,Yes,,51,,,,,,,,,,
515610,Variacion de inventarios de mercancias,,Expense,,,No,P_LANDEDCOSTCLEARING_ACCT,515,,,,,,,,,,
515611,Variacion de inventarios de materias primas,,Expense,,,No,,515,,,,,,,,,,
515612,Variacion de inventarios de suministros y materiales,,Expense,,,No,,515,,,,,,,,,,
515613,Ajustes en el costo del producto,Product Cost Adjustments,Expense,,Yes,No,P_COSTADJUSTMENT_ACCT,515,,,,,,,,,,
515614,Costo por defecto del producto en el inventario,Default Product costs (I.e. on inventory),Expense,,Yes,No,P_INVENTORYCLEARING_ACCT,515,,,,,,,,,,
515615,Ganancia o Perdida por ajuste de Inventario fisico,Physical Inventory Gain/Loss,Expense,,Yes,No,W_DIFFERENCES_ACCT,515,,,,,,,,,,
515616,Inventory Actual Accounting Value Adjustment,Inventory Actual Accounting Value Adjustment,Expense,,Yes,No,W_INVACTUALADJUST_ACCT,515,,,,,,,,,,
515617,Diferencia de (menor costo) o en el mercado,Difference to (lower cost) or market,Expense,,Yes,No,W_REVALUATION_ACCT,515,,,,,,,,,,
515618,Diferencia entre el costo del producto y el precio de la fac,Difference between product cost and invoice price (IPV),Expense,,Yes,No,P_INVOICEPRICEVARIANCE_ACCT,515,,,,,,,,,,
515619,Diferencia entre el precio de compra y los costos estandar (,Difference between purchase price and standard costs (PPV),Expense,,Yes,No,P_PURCHASEPRICEVARIANCE_ACCT,515,,,,,,,,,,
517,Gastos de Personal,,Expense,,,Yes,,51,,,,,,,,,,
517640,Sueldos y salarios,,Expense,,,No,,517,,,,,,,,,,
517641,Indemnizaciones y prestaciones,,Expense,,,No,,517,,,,,,,,,,
517642,Seguridad social,,Expense,,,No,,517,,,,,,,,,,
517643,Retribucion a largo plazo aportaciones definidas,,Expense,,,No,,517,,,,,,,,,,
517644,Retribucion a largo plazo prestaciones definidas,,Expense,,,No,,517,,,,,,,,,,
517645,Pagos basados en acciones,,Expense,,,No,,517,,,,,,,,,,
517646,Otros beneficios sociales,,Expense,,,No,,517,,,,,,,,,,
517647,Labor absorbida,Labor Absorbed account,Expense,,Yes,No,P_LABOR_ACCT,517,,,,,,,,,,
517648,Carga absorbida,Burden Absorbed account,Expense,,Yes,No,P_BURDEN_ACCT,517,,,,,,,,,,
517649,Gastos personal absorbidos,Overhead Applied account,Expense,,Yes,No,P_OVERHEAD_ACCT,517,,,,,,,,,,
518,Depreciacion y Amortizacion,,Expense,,,Yes,,51,,,,,,,,,,
518680,Amortizacion de activos intangibles,,Expense,,,No,,518,,,,,,,,,,
518681,Depreciacion de propiedades planta y equipos,,Expense,,,No,,518,,,,,,,,,,
518682,Depreciacion de propiedades de inversion,,Expense,,,No,,518,,,,,,,,,,
519,Deterioro y reversion de deterioro,,Expense,,,Yes,,51,,,,,,,,,,
519690,Perdida por deterioro del activo intangible,,Expense,,,No,,519,,,,,,,,,,
519691,Perdida por deterioro de propiedades  planta y equipos,,Expense,,,No,,519,,,,,,,,,,
519692,Perdida por deterioro de propiedades de inversion,,Expense,,,No,,519,,,,,,,,,,
519693,Perdidas por deterioro de inventarios,Scrap Account,Expense,,Yes,No,P_SCRAP_ACCT,519,,,,,,,,,,
519694,Perdidas por deterioro de creditos comerciales,,Expense,,,No,,519,,,,,,,,,,
519697,Perdidas por deterioro de instrumentos de deuda,,Expense,,,No,,519,,,,,,,,,,
519698,Perdida por deterioro de instrumentos de patrimonio,,Expense,,,No,,519,,,,,,,,,,
52,OTROS GASTOS,,Expense,,,Yes,,5,,,,,,,,,,
521,Otros gastos,,Expense,,,Yes,,52,,,,,,,,,,
521650,Perdidas por incobrables,Receivables write-off - bad debt,Expense,,Yes,No,WRITEOFF_ACCT,521,,,,,,,,,,
521651,Otros Gastos Operacionales,Default other expense,Expense,,Yes,No,CH_EXPENSE_ACCT,521,,,,,,,,,,
521652,Otros Gastos en transacciones de caja chica,Default other expense for petty cash transactions,Expense,,Yes,No,CB_EXPENSE_ACCT,521,,,,,,,,,,
521653,Perdidas en diferencias de caja chica,Petty Cash Differences,Expense,,Yes,No,CB_DIFFERENCES_ACCT,521,,,,,,,,,,
521654,Variacion del precio de compra,Offset Account for Purchase price variance (PPV) ,Expense,,Yes,No,PPVOFFSET_ACCT,521,,,,,,,,,,
521655,Uso de la variacion,Account for Using Variance,Expense,,,No,P_USAGEVARIANCE_ACCT,521,,,,,,,,,,
521656,Cambio de Metodo de la variacion,Account for Method Change Variance,Expense,,,No,P_METHODCHANGEVARIANCE_ACCT,521,,,,,,,,,,
521657,Tasa de la variacion,Account for Rate Variance,Expense,,,No,P_RATEVARIANCE_ACCT,521,,,,,,,,,,
521658,Mezcla de la variacion,Account for Mix Variance,Expense,,,No,P_MIXVARIANCE_ACCT,521,,,,,,,,,,
521659,Variacion de los costos promedios,Account for Average Cost Variance,Expense,,,No,P_AVERAGECOSTVARIANCE_ACCT,521,,,,,,,,,,
522,Otras perdidas,,Expense,,,Yes,,52,,,,,,,,,,
522663,Perdida cambios en el valor razonable,,Expense,,,No,,522,,,,,,,,,,
522664,Perdida en cambio por liquidacion bancaria,Difference between payment and bank account currency,Expense,,Yes,No,B_SETTLEMENTLOSS_ACCT,522,,,,,,,,,,
522665,Perdida en cambio no realizada,Difference between foreign currency receivables/payables and current rate,Expense,,Yes,No,UNREALIZEDLOSS_ACCT,522,,,,,,,,,,
522666,Perdida en cambio realizada,Difference between invoice and payment currency,Expense,,Yes,No,REALIZEDLOSS_ACCT,522,,,,,,,,,,
522668,Perdida en cambio bancaria,Foreign currency bank account loss,Expense,,Yes,No,B_REVALUATIONLOSS_ACCT,522,,,,,,,,,,
522669,Equilibrio monetario,Rounding difference to make journal balance in accounting currency,Expense,,Yes,No,CURRENCYBALANCING_ACCT,522,,,,,,,,,,
522670,Perdidas procedentes de activos intangibles,,Expense,,,No,,522,,,,,,,,,,
522671,Perdidas procedentes de propiedades  planta y equipos,,Expense,,,No,,522,,,,,,,,,,
522672,Perdidas procedentes de propiedades de inversion,,Expense,,,No,,522,,,,,,,,,,
522673,Perdidas procedentes de instrum de patrimonios  partes relac,,Expense,,,No,,522,,,,,,,,,,
522675,Perdidas por operaciones con obligaciones propias,,Expense,,,No,,522,,,,,,,,,,
523,Gastos Financieros,,Expense,,,Yes,,52,,,,,,,,,,
523660,Suspenso equilibrio,Difference to make journal balance in source currency - needs to be solved,Expense,,Yes,No,SUSPENSEBALANCING_ACCT,523,,,,,,,,,,
523661,Intereses instrumentos de deuda,,Expense,,,No,,523,,,,,,,,,,
523662,Intereses prestamos,Bank interest expense,Expense,,Yes,No,B_INTERESTEXP_ACCT,523,,,,,,,,,,
523669,Suspenso error,Import did not find account - needs to be solved,Expense,,Yes,No,SUSPENSEERROR_ACCT,523,,,,,,,,,,
53,IMPUESTO SOBRE LA RENTA,,Expense,,,Yes,,5,,,,,,,,,,
531,Gasto de impuestos corriente,,Expense,,,Yes,,53,,,,,,,,,,
531630,Impuesto sobre la renta,,Expense,,,Yes,,531,,,,,,,,,,
531631,Impuestos municipales,,Expense,,,No,,531,,,,,,,,,,
531632,Impuestos a las Ventas pagados a Proveedores no recuperado,Sales Tax paid to Vendors,Expense,,Yes,No,T_EXPENSE_ACCT,531,,,,,,,,,,
532,Gastos de impuesto diferido,,Expense,,,Yes,,53,,,,,,,,,,
6,OTROS RESULTADOS INTEGRALES,,Memo,,,Yes,,,,,,,,,,,,
61,RESULTADOS POR CONVERSION,,Memo,,,Yes,,6,,,,,,,,,,
611,Resultados por Conversion,,Memo,,,Yes,,61,,,,,,,,,,
611800,Perdida por diferencia por conversion,,Memo,,,No,,611,,,,,,,,,,
611801,Beneficio por diferencia en conversion,,Memo,,,No,,611,,,,,,,,,,
62,RESULTADOS ACTUARIALES,,Memo,,,Yes,,6,,,,,,,,,,
621,Resultados Actuariales,,Memo,,,Yes,,62,,,,,,,,,,
621820,Perdidas actuariales,,Memo,,,No,,621,,,,,,,,,,
621821,Beneficios actuariales,,Memo,,,No,,621,,,,,,,,,,
63,CAMBIOS VALOR RAZONABLE INSTRUMENTOS DE COBERTURA,,Memo,,,Yes,,6,,,,,,,,,,
631,Cambios Valor Razonable instrumentos de cobertura,,Memo,,,Yes,,63,,,,,,,,,,
631810,Perdida en operaciones de cobertura de flujo de efectivo,,Memo,,,No,,631,,,,,,,,,,
631811,Beneficio en operaciones de cobertura de flujo de efectivo,,Memo,,,No,,631,,,,,,,,,,
64,PARTICIPACION EN ASOCIADAS,,Memo,,,Yes,,6,,,,,,,,,,
641,Participacion en Asociadas,,Memo,,,Yes,,64,,,,,,,,,,
641830,Participacion en perdidas,,Memo,,,No,,641,,,,,,,,,,
641831,Participacion en beneficios,,Memo,,,No,,641,,,,,,,,,,
65,IMPUESTOS,,Memo,,,Yes,,6,,,,,,,,,,
651,IMPUESTOS A LAS GANANCIAS,,Memo,,,Yes,,65,,,,,,,,,,
651840,Gastos de impuestos,,Memo,,,No,,651,,,,,,,,,,
651841,Ingresos de impuestos,,Memo,,,No,,651,,,,,,,,,,
66,COMPROMISOS COMPRA Y VENTAS,,Memo,,,Yes,,6,,,,,,,,,,
661,COMPROMISOS COMPRA Y VENTAS,,Memo,,,Yes,,66,,,,,,,,,,
661850,Compromisos en Ordenes de Compra,PO Commitment,Memo,,Yes,No,COMMITMENTOFFSET_ACCT,661,,,,,,,,,,
661851,Compromisos en Ordenes de Ventas,SO Commitment,Memo,,Yes,No,COMMITMENTOFFSETSALES_ACCT,661,,,,,,,,,,
